item,ismilitaryRankPIT,militaryRankStart,itemLabel,politicalPartyLabel,militaryRankLabel,nextHighestMilitaryRankLabel,nextLowestMilitaryRankLabel
http://www.wikidata.org/entity/Q48149,0,1940-06-04T00:00:00Z,Fyodor Tolbukhin,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q49463,0,1942-01-01T00:00:00Z,Marina Raskova,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q48112,0,1943-08-27T00:00:00Z,Ivan Bagramyan,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q48053,0,1938-08-16T00:00:00Z,Kirill Moskalenko,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q76311,0,1945-06-01T00:00:00Z,Semen Bogdanov,Communist Party of the Soviet Union,Marshal of the branch,,
http://www.wikidata.org/entity/Q48053,0,1953-08-03T00:00:00Z,Kirill Moskalenko,Communist Party of the Soviet Union,General of the army,,
http://www.wikidata.org/entity/Q48112,0,1955-03-11T00:00:00Z,Ivan Bagramyan,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q60084,0,1938-02-17T00:00:00Z,Mikhail Katukov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q48048,0,1936-01-01T00:00:00Z,Ivan Ignatyevich Yakubovsky,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q48149,0,1935-11-28T00:00:00Z,Fyodor Tolbukhin,Communist Party of the Soviet Union,kombrig,,
http://www.wikidata.org/entity/Q48102,0,1945-05-29T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,General of the army,,
http://www.wikidata.org/entity/Q48102,0,1942-05-30T00:00:00Z,Matvei Zakharov,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q8299349,0,1955-09-27T00:00:00Z,Lai Chuanzhu,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q699398,0,1955-09-27T00:00:00Z,Ye Fei,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q716083,0,1955-09-27T00:00:00Z,Ulanhu,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q40482,0,1914-08-08T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,Gefreiter,sergeant,private
http://www.wikidata.org/entity/Q8318423,0,1955-01-01T00:00:00Z,Zhang Tianyun,Communist Party of China,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q2983888,0,1955-09-27T00:00:00Z,Yang Chengwu,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q162814,0,1955-09-27T00:00:00Z,Xie Fuzhi,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q701146,0,1955-09-27T00:00:00Z,Dong Qiwu,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4537824,0,1955-09-27T00:00:00Z,Yang Yong,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4059765,0,1941-01-01T00:00:00Z,Gevork Akopyants,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q5964482,0,1955-09-27T00:00:00Z,Zhu Liangcai,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q40482,0,1914-08-08T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,Gefreiter,Obergefreiter,private
http://www.wikidata.org/entity/Q710115,0,1955-09-27T00:00:00Z,Chen Xilian,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q381823,0,1955-09-23T00:00:00Z,Peng Dehuai,Communist Party of China,Marshal of the People's Republic of China,Da Yuan Shuai,Da Jiang
http://www.wikidata.org/entity/Q837398,0,1955-09-27T00:00:00Z,Chen Zaidao,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054925,0,1938-05-29T00:00:00Z,Konstantin Abramov,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q513976,0,1955-09-27T00:00:00Z,Wang Zhen,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314185,0,1955-09-27T00:00:00Z,Xiao Hua,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8070454,0,1955-09-27T00:00:00Z,Zhang Zongxun,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q855,1,1945-01-01T00:00:00Z,Joseph Stalin,Communist Party of the Soviet Union,Generalissimus of the Soviet Union,,Marshal of the Soviet Union
http://www.wikidata.org/entity/Q5090869,0,1955-09-27T00:00:00Z,Chen Qihan,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q495182,0,1955-09-27T00:00:00Z,Song Shi-Lun,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q40482,0,1949-01-01T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,Marshal of Poland,,
http://www.wikidata.org/entity/Q8314180,0,1955-09-27T00:00:00Z,Su Zhenhua,Communist Party of China,Hai Jun Shang Jiang,,Hai Jun Zhong Jiang
http://www.wikidata.org/entity/Q8272159,0,1955-09-27T00:00:00Z,Chen Mingren,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054925,0,1939-07-31T00:00:00Z,Konstantin Abramov,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q8314147,0,1958-01-01T00:00:00Z,Li Jukui,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q7928648,0,1955-09-27T00:00:00Z,Zhou Chunquan,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q710154,0,1955-09-27T00:00:00Z,Huang Yongsheng,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q40482,0,1943-01-15T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,colonel general,General of the Army,lieutenant general
http://www.wikidata.org/entity/Q855,1,1945-01-01T00:00:00Z,Joseph Stalin,Communist Party of the Soviet Union,Generalissimus of the Soviet Union,,Admiral of the Fleet of the Soviet Union
http://www.wikidata.org/entity/Q8314106,0,1955-09-27T00:00:00Z,Fu Qiutao,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314194,0,1955-09-27T00:00:00Z,He Bingyan,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314120,0,1955-09-27T00:00:00Z,Tang Liang,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q704889,0,1955-09-27T00:00:00Z,Song Renqiong,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314162,0,1956-01-25T00:00:00Z,Wang Jian'an,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q5646706,0,1955-09-27T00:00:00Z,Han Xianchu,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054925,0,1942-03-18T00:00:00Z,Konstantin Abramov,Communist Party of the Soviet Union,colonel,brigadier,lieutenant colonel
http://www.wikidata.org/entity/Q8299246,0,1955-09-27T00:00:00Z,Chen Bojun,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q159582,0,1958-02-18T00:00:00Z,Alexander Pokryshkin,Communist Party of the Soviet Union,Air Force lieutenant general,,
http://www.wikidata.org/entity/Q8299045,0,1955-09-27T00:00:00Z,Fu Zhong,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299305,0,1955-09-27T00:00:00Z,Li Tianyou,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299200,0,1955-09-27T00:00:00Z,Deng Hua,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q716083,0,1955-09-27T00:00:00Z,Ulanhu,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8293154,0,1955-09-27T00:00:00Z,Li Zhimin,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q5520452,0,1955-09-27T00:00:00Z,Gan Siqi,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q162814,0,1955-09-27T00:00:00Z,Xie Fuzhi,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299786,0,1955-09-27T00:00:00Z,Zhong Qiguang,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q701146,0,1955-09-27T00:00:00Z,Dong Qiwu,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054952,0,1940-09-06T00:00:00Z,Tikhon Abramov,Communist Party of the Soviet Union,major,lieutenant colonel,captain
http://www.wikidata.org/entity/Q6538916,0,1955-09-27T00:00:00Z,Li Kenong,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q701254,0,1955-09-27T00:00:00Z,Zhou Shidi,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q698759,0,1955-09-27T00:00:00Z,Hong Xuezhi,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q710115,0,1955-09-27T00:00:00Z,Chen Xilian,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q837398,0,1955-09-27T00:00:00Z,Chen Zaidao,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314131,0,1955-09-27T00:00:00Z,Peng Shaohui,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q708941,0,1955-09-27T00:00:00Z,Xiao Ke,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314155,0,1955-09-27T00:00:00Z,Li Da,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q513976,0,1955-09-27T00:00:00Z,Wang Zhen,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314185,0,1955-09-27T00:00:00Z,Xiao Hua,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q576272,0,1955-09-27T00:00:00Z,Lü Zhengcao,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q835115,0,1955-09-27T00:00:00Z,Xu Shiyou,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q35314,0,1943-02-12T00:00:00Z,Nikita Khrushchev,Communist Party of the Soviet Union,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q495182,0,1955-09-27T00:00:00Z,Song Shi-Lun,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q3139184,0,1955-09-27T00:00:00Z,Wei Guoqing,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054925,0,1936-01-13T00:00:00Z,Konstantin Abramov,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q40482,0,1944-06-29T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q1926859,0,1955-09-27T00:00:00Z,Yang Dezhi,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q3066312,1,1955-01-01T00:00:00Z,Fan Ming,Communist Party of China,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q8314106,0,1955-09-27T00:00:00Z,Fu Qiutao,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299284,0,1955-09-27T00:00:00Z,Zhou Huan,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314194,0,1955-09-27T00:00:00Z,He Bingyan,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314162,0,1956-01-25T00:00:00Z,Wang Jian'an,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4059765,0,1942-01-01T00:00:00Z,Gevork Akopyants,Communist Party of the Soviet Union,senior lieutenant,,
http://www.wikidata.org/entity/Q716911,0,1955-09-27T00:00:00Z,Zhang Aiping,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q40482,0,1943-04-28T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,General of the army,,
http://www.wikidata.org/entity/Q5646706,0,1955-09-27T00:00:00Z,Han Xianchu,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299246,0,1955-09-27T00:00:00Z,Chen Bojun,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8070517,0,1955-09-27T00:00:00Z,Zhao Erlu,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314170,0,1955-09-27T00:00:00Z,Wang Xinting,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q7929343,0,1955-09-27T00:00:00Z,Yan Hongyan,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8298445,0,1955-09-27T00:00:00Z,Wang Ping,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299045,0,1955-09-27T00:00:00Z,Fu Zhong,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q7327,0,1957-11-05T00:00:00Z,Yuri Gagarin,Communist Party of the Soviet Union,lieutenant,,
http://www.wikidata.org/entity/Q6854077,0,1955-01-01T00:00:00Z,Ni Zhiliang,Communist Party of China,lieutenant general,colonel general,major general
http://www.wikidata.org/entity/Q4451388,0,1955-09-27T00:00:00Z,Tao Zhiyue,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054925,0,1941-12-16T00:00:00Z,Konstantin Abramov,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q8299305,0,1955-09-27T00:00:00Z,Li Tianyou,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299200,0,1955-09-27T00:00:00Z,Deng Hua,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299269,0,1955-09-27T00:00:00Z,Guo Tianmin,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8293154,0,1955-09-27T00:00:00Z,Li Zhimin,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q5520452,0,1955-09-27T00:00:00Z,Gan Siqi,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299349,0,1955-09-27T00:00:00Z,Lai Chuanzhu,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q699398,0,1955-09-27T00:00:00Z,Ye Fei,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299786,0,1955-09-27T00:00:00Z,Zhong Qiguang,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q2983888,0,1955-09-27T00:00:00Z,Yang Chengwu,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4537824,0,1955-09-27T00:00:00Z,Yang Yong,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q6538916,0,1955-09-27T00:00:00Z,Li Kenong,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q701254,0,1955-09-27T00:00:00Z,Zhou Shidi,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q698759,0,1955-09-27T00:00:00Z,Hong Xuezhi,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q5964482,0,1955-09-27T00:00:00Z,Zhu Liangcai,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314131,0,1955-09-27T00:00:00Z,Peng Shaohui,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q708941,0,1955-09-27T00:00:00Z,Xiao Ke,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314155,0,1955-09-27T00:00:00Z,Li Da,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q576272,0,1955-09-27T00:00:00Z,Lü Zhengcao,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q699118,0,1955-09-27T00:00:00Z,Liu Yalou,Communist Party of China,Kong Jun Shang Jiang,,Kong Jun Zhong Jiang
http://www.wikidata.org/entity/Q835115,0,1955-09-27T00:00:00Z,Xu Shiyou,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054952,0,1942-02-25T00:00:00Z,Tikhon Abramov,Communist Party of the Soviet Union,podpolkovnik,colonel,major
http://www.wikidata.org/entity/Q8070454,0,1955-09-27T00:00:00Z,Zhang Zongxun,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q4054952,0,1936-01-24T00:00:00Z,Tikhon Abramov,Communist Party of the Soviet Union,captain,major,senior lieutenant
http://www.wikidata.org/entity/Q5090869,0,1955-09-27T00:00:00Z,Chen Qihan,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q3139184,0,1955-09-27T00:00:00Z,Wei Guoqing,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8272159,0,1955-09-27T00:00:00Z,Chen Mingren,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q40482,0,1940-06-04T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
http://www.wikidata.org/entity/Q1926859,0,1955-09-27T00:00:00Z,Yang Dezhi,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8314147,0,1958-01-01T00:00:00Z,Li Jukui,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q48084,1,1955-01-01T00:00:00Z,Andrey Yeryomenko,Communist Party of the Soviet Union,Marshal of the Soviet Union,Generalissimus of the Soviet Union,General of the army
http://www.wikidata.org/entity/Q7928648,0,1955-09-27T00:00:00Z,Zhou Chunquan,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q710154,0,1955-09-27T00:00:00Z,Huang Yongsheng,Communist Party of China,Shang Jiang,Da Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q8299284,0,1955-09-27T00:00:00Z,Zhou Huan,Communist Party of China,Shang Jiang,Yi Ji Shang Jiang,Zhong Jiang
http://www.wikidata.org/entity/Q40482,0,1935-11-26T00:00:00Z,Konstantin Rokossovsky,Communist Party of the Soviet Union,Komdiv,,
http://www.wikidata.org/entity/Q8299846,0,1955-09-27T00:00:00Z,Liu Zhen,Communist Party of China,Kong Jun Shang Jiang,,Kong Jun Zhong Jiang
http://www.wikidata.org/entity/Q48037,0,1942-10-01T00:00:00Z,Pyotr Koshevoy,Communist Party of the Soviet Union,major general,lieutenant general,brigadier general
